Descripción,Localización,Precio,Superficie Construida,Última Actualización,Consumo Energético,Emisiones CO2,Tipo de operación,Superficie construida,Superficie útil,Habitaciones,Baños,Tipo de casa,Antigüedad,Conservación,Referencia,Planta,Gastos de comunidad,Superficie solar,Exterior,Interior
"Ático en alquiler en Calle de Hortaleza, cerca de Calle de la Farmacia",Justicia-Chueca (Distrito Centro. Madrid Capital),2.995,100,Anuncio actualizado el 15/07/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,100 m²,,2,2,,,En buen estado,SA5186-MELITO,5ª,,,,
"Piso en alquiler en Calle del Príncipe de Vergara, cerca de Calle de Felipe Campos",El Viso (Distrito Chamartín. Madrid Capital),4.390,159,Anuncio actualizado el 28/10/2024,,,Alquiler,159 m²,153 m²,4,3,,Entre 30 y 50 años,Reformado,996542-3995-jg,9ª,,,,
"Dúplex en alquiler en Calle de Velázquez, cerca de Calle de Diego de León",Castellana (Distrito Salamanca. Madrid Capital),4.100,208,Anuncio actualizado el 28/10/2024,,,Alquiler,208 m²,189 m²,2,2,,Más de 50 años,Reformado,996542-3960-VC,2ª,,,,
Piso en alquiler en Calle de Santa Brígida,Justicia-Chueca (Distrito Centro. Madrid Capital),2.585,48,Anuncio actualizado el 23/09/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,48 m²,,1,1,,,En buen estado,SA5186-ELTON,1ª,,,,
Ático en alquiler en Glorieta de Ruiz Jiménez,Universidad-Malasaña (Distrito Centro. Madrid Capital),3.750,92,Anuncio actualizado el 28/10/2024,,,Alquiler,92 m²,84 m²,2,1,,Más de 50 años,En buen estado,SA88-ALQDAGRJ,5ª,,,,
"Piso en alquiler en Calle de Añastro, cerca de Calle de Arturo Soria",Atalaya (Distrito Ciudad Lineal. Madrid Capital),3.600,266,Anuncio actualizado el 28/10/2024,,,Alquiler,266 m²,260 m²,6,5,,Entre 20 y 30 años,Reformado,996542-2779-GF,2ª,,,,
"Piso en alquiler en Avenida de Concha Espina, cerca de Plaza de los Sagrados Corazones",El Viso (Distrito Chamartín. Madrid Capital),3.055,95,Anuncio actualizado el 14/09/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,95 m²,,2,2,,,En buen estado,SA5186-AVERSA,,,,,
Piso en alquiler en Plaza de la Independencia,Recoletos (Distrito Salamanca. Madrid Capital),A,492,Anuncio actualizado el 20/10/2024,,,Alquiler,492 m²,,5,6,,,En buen estado,SA88-ALQVNGXLZR,2ª,,,,
"Piso en alquiler en Calle de Alonso Cano, cerca de Calle de Ríos Rosas",Ríos Rosas (Distrito Chamberí. Madrid Capital),2.160,50,Anuncio actualizado el 25/10/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,50 m²,,1,1,,,En buen estado,SA5186-ANASTASIA,2ª,,,,
Ático en alquiler en Trafalgar,Trafalgar (Distrito Chamberí. Madrid Capital),2.900,104,Anuncio actualizado el 24/10/2024,,,Alquiler,104 m²,,2,2,,,,AG38-ATC0612,,,,,
Piso en alquiler en Calle de San Andrés,Universidad-Malasaña (Distrito Centro. Madrid Capital),4.100,108,Anuncio actualizado el 06/09/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,108 m²,,2,3,,,En buen estado,SA5186-ERISTE,4ª,,,,
Piso en alquiler en Calle del Poeta Esteban de Villegas,Jerónimos (Distrito Retiro. Madrid Capital),2.300,152,Anuncio actualizado el 25/10/2024,,,Alquiler,152 m²,135 m²,4,2,,Entre 30 y 50 años,En buen estado,4992439-000003,4ª,,,,
Piso en alquiler en Calle de Garcilaso,Trafalgar (Distrito Chamberí. Madrid Capital),4.070,138,Anuncio actualizado el 25/09/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,138 m²,,3,2,,,En buen estado,SA5186-ANDUJAR,1ª,,,,
Piso en alquiler en Calle de la Bola,Palacio (Distrito Centro. Madrid Capital),2.560,70,Anuncio actualizado el 02/10/2024,Consumo:175 kWh/m² año,Emisiones:36 Kg CO₂/m² año,Alquiler,70 m²,,1,1,,,En buen estado,SA5186-TETELA,2ª,,,,
Piso en alquiler en Plaza de San Juan de la Cruz,Ríos Rosas (Distrito Chamberí. Madrid Capital),3.900,145,Anuncio actualizado el 04/09/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,145 m²,,3,3,,,En buen estado,SA5186-MIJAS,2ª,,,,
Piso en alquiler en Calle de la Alameda,Cortes-Huertas (Distrito Centro. Madrid Capital),2.500,100,Anuncio actualizado el 28/10/2024,,,Alquiler,100 m²,95 m²,2,3,,Entre 30 y 50 años,Reformado,996542-2987-AM,1ª,,,,
Piso en alquiler en Cortes-Huertas,Cortes-Huertas (Distrito Centro. Madrid Capital),1.550,79,Anuncio actualizado el 14/10/2024,Consumo:190 kWh/m² año,Emisiones:32 Kg CO₂/m² año,Alquiler,79 m²,,1,1,,Más de 50 años,En buen estado,TC1114-596837,1ª,,,,
Casa adosada en alquiler en Arturo Soria,San Juan Bautista (Distrito Ciudad Lineal. Madrid Capital),5.500,273,Anuncio actualizado el 25/10/2024,,,Alquiler,273 m²,,6,4,Adosada,,,AF16-1543/538,,,,,
"Piso en alquiler en Calle de la Madera, cerca de Calle de Don Felipe",Universidad-Malasaña (Distrito Centro. Madrid Capital),2.100,65,Anuncio actualizado el 28/10/2024,,,Alquiler,65 m²,55 m²,2,2,,Más de 50 años,Reformado,996542-3755 AM,3ª,,,,
Piso en alquiler en Plaza del Sol,Sur-Este (Móstoles),955,70,Anuncio actualizado el 28/10/2024,,,Alquiler,70 m²,60 m²,2,,,,,XA615-12781,2ª,,,,
Piso en alquiler en Calle de Luchana,Trafalgar (Distrito Chamberí. Madrid Capital),4.250,137,Anuncio actualizado el 15/07/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,137 m²,,4,4,,,En buen estado,SA5186-PEDRA,4ª,,,,
Piso en alquiler en Calle de Antonio Acuña,Goya (Distrito Salamanca. Madrid Capital),3.660,110,Anuncio actualizado el 16/07/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,110 m²,,3,2,,,En buen estado,SA5186-STELLA,4ª,,,,
Piso en alquiler en Calle de Tomás López,Goya (Distrito Salamanca. Madrid Capital),2.560,90,Anuncio actualizado el 25/10/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,90 m²,,2,2,,,En buen estado,SA5186-EYNE,2ª,,,,
Piso en alquiler en Calle de León,Juan de la Cierva (Getafe),950,70,Anuncio actualizado el 22/10/2024,,,Alquiler,70 m²,65 m²,3,1,,Más de 50 años,En buen estado,4513812-000059,4ª,,,,
Ático en alquiler en Calle del Pensamiento,Castillejos (Distrito Tetuán. Madrid Capital),3.300,110,Anuncio actualizado el 28/10/2024,,,Alquiler,110 m²,105 m²,3,2,,Entre 20 y 30 años,Reformado,996542-8282-D,8ª,,,,
"Piso en alquiler en Calle de Antonio Acuña, 17",Goya (Distrito Salamanca. Madrid Capital),4.100,270,Anuncio actualizado el 04/01/2024,,,Alquiler,270 m²,252 m²,3,4,,,Reformado,4518087-Retiro7,6ª,,,,
"Piso en alquiler en Calle de Fernández de la Hoz, cerca de Calle de José Abascal",Almagro (Distrito Chamberí. Madrid Capital),3.740,145,Anuncio actualizado el 22/09/2024,Consumo:219 kWh/m² año,Emisiones:46 Kg CO₂/m² año,Alquiler,145 m²,,3,3,,,En buen estado,SA5186-KHAMLIA,1ª,,,,
"Piso en alquiler en Calle del Conde de Peñalver, cerca de Calle de Ayala",Goya (Distrito Salamanca. Madrid Capital),2.490,80,Anuncio actualizado el 29/07/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,80 m²,,2,1,,,En buen estado,SA5186-EMBA,3ª,,,,
"Piso en alquiler en Avenida de Menéndez Pelayo, cerca de Calle del Conde de Cartagena",Niño Jesús (Distrito Retiro. Madrid Capital),4.630,145,Anuncio actualizado el 04/09/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,145 m²,,4,3,,,En buen estado,SA5186-COLMENAR,5ª,,,,
"Piso en alquiler en Calle de Alonso Cano, cerca de Calle de Ríos Rosas",Ríos Rosas (Distrito Chamberí. Madrid Capital),2.945,81,Anuncio actualizado el 16/08/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,81 m²,,2,2,,,En buen estado,SA5186-ADELFAS,4ª,,,,
Piso en alquiler en Calle Mario Moreno Cantinflas,El Cañaveral (Distrito Vicálvaro. Madrid Capital),1.045,92,Anuncio actualizado el 22/07/2024,Consumo:14 kWh/m² año,Emisiones:3 Kg CO₂/m² año,Alquiler,92 m²,92 m²,2,2,,Menos de 5 años,A estrenar,4525625-Cañaveral. 2 Dormitorios,4ª,Entre 80 y 100 €,,,
"Piso en alquiler en Calle de Hortaleza, cerca de Calle de Hernán Cortés",Justicia-Chueca (Distrito Centro. Madrid Capital),2.960,110,Anuncio actualizado el 26/09/2024,Consumo:155 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,110 m²,,2,2,,,En buen estado,SA5186-RADDA,1ª,,,,
"Piso en alquiler en Calle del Corazón de María, cerca de Calle de Clara del Rey",Prosperidad (Distrito Chamartín. Madrid Capital),3.300,100,Anuncio actualizado el 28/10/2024,,,Alquiler,100 m²,93 m²,2,2,,Más de 50 años,Reformado,996542-3540-AM,1ª,,,,
"Estudio en alquiler en Calle de Andrés Mellado, cerca de Calle de Meléndez Valdés",Gaztambide (Distrito Chamberí. Madrid Capital),1.000,50,Anuncio actualizado el 18/10/2024,,,Alquiler,50 m²,45 m²,,1,,Entre 20 y 30 años,En buen estado,4521707-2024-31,Bajo,,,,
Piso en alquiler en Calle de Tomás López,Goya (Distrito Salamanca. Madrid Capital),3.040,90,Anuncio actualizado el 15/10/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,90 m²,,1,1,,,A reformar,SA5186-BREZZA,5ª,,,,
"Piso en alquiler en Calle Jorge Juan, cerca de Calle de la Fuente del Berro",Goya (Distrito Salamanca. Madrid Capital),3.735,100,Anuncio actualizado el 15/07/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,100 m²,,3,2,,,En buen estado,SA5186-FISCIANO,4ª,,,,
"Piso en alquiler en Calle del Príncipe de Vergara, cerca de Calle Castelló",El Viso (Distrito Chamartín. Madrid Capital),3.255,155,Anuncio actualizado el 30/08/2024,Consumo:218 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,155 m²,,3,2,,,En buen estado,SA5186-TRIKORA,3ª,,,,
Dúplex en alquiler en Calle de Caracas,Almagro (Distrito Chamberí. Madrid Capital),2.450,95,Anuncio actualizado el 28/10/2024,,,Alquiler,95 m²,90 m²,1,2,,Entre 5 y 10 años,En buen estado,996542-8241_VC,1ª,,,,
Piso en alquiler en Calle de Adela Balboa,Bellas Vistas (Distrito Tetuán. Madrid Capital),2.500,63,Anuncio actualizado el 15/07/2024,,,Alquiler,63 m²,,2,2,,,En buen estado,SA5186-FICO,1ª,,,,
"Piso en alquiler en Calle de Ayala, cerca de Calle de Núñez de Balboa",Recoletos (Distrito Salamanca. Madrid Capital),4.080,98,Anuncio actualizado el 09/10/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,98 m²,,2,2,,,En buen estado,SA5186-JARA,5ª,,,,
"Piso en alquiler en Calle de López de Hoyos, cerca de Calle de Francisco Silvela",El Viso (Distrito Chamartín. Madrid Capital),3.400,130,Anuncio actualizado el 23/10/2024,,,Alquiler,130 m²,128 m²,4,2,,,En buen estado,SA88-alqsqatce8,4ª,,,,
Ático en alquiler en Calle Libertad,La Navata (Galapagar),1.600,90,Anuncio actualizado el 28/10/2024,,,Alquiler,90 m²,87 m²,3,1,,Menos de 5 años,En buen estado,SA3855-3577-00246,2ª,,,,
Piso en alquiler en Calle de la Cebada,Palacio (Distrito Centro. Madrid Capital),3.500,127,Anuncio actualizado el 15/07/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,127 m²,,3,3,,,En buen estado,SA5186-TRAVIS,1ª,,,,
"Piso en alquiler en Calle de Ibiza, cerca de Avenida de Menéndez Pelayo",Jerónimos (Distrito Retiro. Madrid Capital),2.725,85,Anuncio actualizado el 04/09/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,85 m²,,2,2,,,En buen estado,SA5186-FLORIDA,3ª,,,,
"Piso en alquiler en Calle de Alonso Cano, cerca de Calle Raimundo Fernández Villaverde",Cuatro Caminos (Distrito Tetuán. Madrid Capital),2.725,90,Anuncio actualizado el 03/09/2024,Consumo:189 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,90 m²,,2,2,,,En buen estado,SA5186-GHASSIRA,1ª,,,,
"Loft en alquiler en Carretera de Fuencarral, 56",Valdelacasa (Alcobendas),850,75,Anuncio actualizado el 28/10/2024,,,Alquiler,75 m²,70 m²,1,1,,Entre 10 y 20 años,En buen estado,4523805-000013,3ª,,,,
"Piso en alquiler en Calle de Ponce de León, número .",Almagro (Distrito Chamberí. Madrid Capital),750,28,Anuncio actualizado el 21/10/2024,,,Alquiler,28 m²,28 m²,1,1,,,,EP442-808053,Sótano,,,,
Ático en alquiler en Calle de Nicasio Gallego,Justicia-Chueca (Distrito Centro. Madrid Capital),3.695,130,Anuncio actualizado el 22/09/2024,Consumo:198 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,130 m²,,2,2,,,En buen estado,SA5186-CANGGU,6ª,,,,
"Piso en alquiler en Calle Hermosilla, cerca de Calle del Conde de Peñalver",Goya (Distrito Salamanca. Madrid Capital),2.400,55,Anuncio actualizado el 02/10/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,55 m²,,1,1,,,En buen estado,SA5186-PAGANI,2ª,,,,
"Casa adosada en alquiler en Paseo Club Deportivo, 2",Zona Avenida de Europa (Pozuelo de Alarcón),4.000,590,Anuncio actualizado el 04/08/2024,,,Alquiler,590 m²,550 m²,5,3,Adosada,Entre 5 y 10 años,En buen estado,4998317-8561930,,Más de 100 €,,,
"Piso en alquiler en Calle de Ayala, cerca de Calle de Alcántara",Goya (Distrito Salamanca. Madrid Capital),2.745,70,Anuncio actualizado el 15/10/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,70 m²,,1,1,,,En buen estado,SA5186-GIUGLIANO,1ª,,,,
"Piso en alquiler en Calle del Cardenal Cisneros, cerca de Calle de Jordán",Trafalgar (Distrito Chamberí. Madrid Capital),1.700,69,Anuncio actualizado el 04/10/2024,Consumo:208 kWh/m² año,Emisiones:43 Kg CO₂/m² año,Alquiler,69 m²,,2,1,,Entre 20 y 30 años,En buen estado,SA3318-3452-01198,3ª,,,,
Piso en alquiler en Paseo de la Florida,Casa de Campo (Distrito Moncloa-Aravaca. Madrid Capital),1.400,79,Anuncio actualizado el 16/10/2024,,,Alquiler,79 m²,79 m²,3,1,,Más de 50 años,En buen estado,501059-3681930524,1ª,,,,
Piso en alquiler en Calle de Salamanca,Cuatro Caminos (Distrito Tetuán. Madrid Capital),2.080,40,Anuncio actualizado el 23/10/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,40 m²,,1,1,,,En buen estado,SA5186-ABANTOS,1ª,,,,
Piso en alquiler en Calle Lagaca,Castellana (Distrito Salamanca. Madrid Capital),3.100,62,Anuncio actualizado el 28/10/2024,,,Alquiler,62 m²,60 m²,2,2,,Entre 30 y 50 años,Reformado,996542-3743-AM,5ª,,,,A  patio manzana
Piso en alquiler en Plaza de España,Buenavista (Distrito Carabanchel. Madrid Capital),4.205,133,Anuncio actualizado el 25/10/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,133 m²,,2,2,,,En buen estado,SA5186-VALIER,Bajo,,,,
"Piso en alquiler en Plaza del Conde del Valle de Suchil, 7",Arapiles (Distrito Chamberí. Madrid Capital),1.298,54,Anuncio actualizado el 18/09/2024,,,Alquiler,54 m²,54 m²,1,2,,,En buen estado,4518087-Noviciado3,3ª,,,,
"Piso en alquiler en Calle de Maudes, cerca de Calle de Ponzano",Ríos Rosas (Distrito Chamberí. Madrid Capital),3.200,220,Anuncio actualizado el 28/10/2024,,,Alquiler,220 m²,187 m²,4,3,,Entre 20 y 30 años,Reformado,996542-4073-AG,4ª,,,,
Ático en alquiler en Calle de San Ernesto,Ciudad Jardín (Distrito Chamartín. Madrid Capital),2.600,140,Anuncio actualizado el 28/10/2024,,,Alquiler,140 m²,125 m²,3,2,,Entre 30 y 50 años,En buen estado,996542-4081-LH,Bajo,,,,
"Piso en alquiler en Calle de Viriato, cerca de Calle de Alonso Cano",Almagro (Distrito Chamberí. Madrid Capital),3.010,160,Anuncio actualizado el 26/07/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,160 m²,,3,2,,,En buen estado,SA5186-ANGRI,,,,,
"Piso en alquiler en Calle del Cardenal Cisneros, cerca de Calle de Bravo Murillo",Trafalgar (Distrito Chamberí. Madrid Capital),2.630,60,Anuncio actualizado el 15/07/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,60 m²,,1,1,,,En buen estado,SA5186-VENTO,2ª,,,,
Piso en alquiler en Calle de la Santísima Trinidad,Trafalgar (Distrito Chamberí. Madrid Capital),2.560,128,Anuncio actualizado el 28/10/2024,,,Alquiler,128 m²,120 m²,4,3,,Entre 30 y 50 años,Reformado,996542-3272-DG,4ª,,,,
Dúplex en alquiler en Calle de Adela Balboa,Bellas Vistas (Distrito Tetuán. Madrid Capital),2.900,88,Anuncio actualizado el 15/07/2024,,,Alquiler,88 m²,,2,3,,,En buen estado,SA5186-RICHARD,3ª,,,,
Apartamento en alquiler en Calle de Olite,Bellas Vistas (Distrito Tetuán. Madrid Capital),1.200,50,Anuncio actualizado el 01/08/2024,,,Alquiler,50 m²,40 m²,2,1,,Menos de 5 años,A estrenar,4524941-A-017,Bajo,,,,
"Apartamento en alquiler en Calle de Velarde, 13",Universidad-Malasaña (Distrito Centro. Madrid Capital),3.600,152,Anuncio actualizado el 04/04/2024,Consumo:1 kWh/m² año,Emisiones:1 Kg CO₂/m² año,Alquiler,152 m²,152 m²,4,2,,Más de 50 años,En buen estado,4527206-VLD13,2ª,,,,
"Apartamento en alquiler en Calle de la Santísima Trinidad, 19",Almagro (Distrito Chamberí. Madrid Capital),2.100,87,Anuncio actualizado el 04/04/2024,Consumo:1 kWh/m² año,Emisiones:1 Kg CO₂/m² año,Alquiler,87 m²,87 m²,1,1,,Más de 50 años,Reformado,4527206-TRI19,8ª,,,,
"Piso en alquiler en Calle de Velázquez, cerca de Calle de Goya",Recoletos (Distrito Salamanca. Madrid Capital),4.000,139,Anuncio actualizado el 26/10/2024,,,Alquiler,139 m²,100 m²,2,2,,,En buen estado,SA88-ALQNZSQGRV,6ª,,,,
Piso en alquiler en Calle Jesus Pajares,Chorrillo (Distrito Chorrillo-Garena. Alcalá de Henares),1.000,80,Anuncio actualizado el 16/10/2024,Consumo:31 kWh/m² año,Emisiones:5 Kg CO₂/m² año,Alquiler,80 m²,72 m²,2,2,,Menos de 5 años,A estrenar,4521139-1,8ª,,,,
Piso en alquiler en Calle de Espalter,Jerónimos (Distrito Retiro. Madrid Capital),2.900,81,Anuncio actualizado el 26/10/2024,,,Alquiler,81 m²,74 m²,1,2,,Más de 50 años,En buen estado,SA88-ALQDAESP,Bajo,,,,
"Ático en alquiler en Calle de Atocha, cerca de Calle de Relatores",Embajadores-Lavapiés (Distrito Centro. Madrid Capital),2.660,65,Anuncio actualizado el 20/10/2024,,,Alquiler,65 m²,63 m²,2,1,,,A estrenar,SA88-ALQGVA20HH,4ª,,,,
Piso en alquiler en Calle de Tomás López,Goya (Distrito Salamanca. Madrid Capital),2.955,95,Anuncio actualizado el 26/09/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,95 m²,,2,2,,,En buen estado,SA5186-ELILA,5ª,,,,
"Piso en alquiler en Calle de Londres, cerca de Avenida de los Toreros",Guindalera (Distrito Salamanca. Madrid Capital),2.100,45,Anuncio actualizado el 15/07/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,45 m²,,1,1,,,En buen estado,SA5186-JULIA,2ª,,,,
Piso en alquiler en Paseo del Pintor Rosales,Argüelles (Distrito Moncloa-Aravaca. Madrid Capital),4.500,224,Anuncio actualizado el 28/10/2024,,,Alquiler,224 m²,208 m²,4,4,,Más de 50 años,Reformado,996542-4087-AG,6ª,,,,
Piso en alquiler en Calle de Augusto Figueroa,Justicia-Chueca (Distrito Centro. Madrid Capital),4.025,120,Anuncio actualizado el 20/08/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,120 m²,,2,3,,,En buen estado,SA5186-SAPORE,3ª,,,,
"Dúplex en alquiler en Calle Lagasca, cerca de Calle de Maldonado",Castellana (Distrito Salamanca. Madrid Capital),18.500,479,Anuncio actualizado el 26/10/2024,,,Alquiler,479 m²,,4,5,,Entre 5 y 10 años,En buen estado,SA88-ALQNZRGAJA,1ª,,,,
Ático en alquiler en Calle de Fernán Núñez,Nueva España (Distrito Chamartín. Madrid Capital),4.950,320,Anuncio actualizado el 28/10/2024,,,Alquiler,320 m²,220 m²,4,4,,Entre 20 y 30 años,Reformado,996542-1559-AM,Bajo,,,,
"Piso en alquiler en Paseo del General Martínez Campos, cerca de Calle de Fernández de la Hoz",Almagro (Distrito Chamberí. Madrid Capital),3.720,85,Anuncio actualizado el 25/10/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,85 m²,,2,2,,,En buen estado,SA5186-LUSCIANO,5ª,,,,
Piso en alquiler en Calle de San Andrés,Trafalgar (Distrito Chamberí. Madrid Capital),4.500,128,Anuncio actualizado el 26/07/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,128 m²,,4,3,,,En buen estado,SA5186-BAQUO,1ª,,,,
Piso en alquiler en Calle del Hierro,Estación (Valdemoro),1.050,87,Anuncio actualizado el 26/10/2024,,,Alquiler,87 m²,87 m²,3,2,,Entre 10 y 20 años,En buen estado,4518288-000013,3ª,,,,
"Piso en alquiler en Calle de José Abascal, cerca de Calle de Bretón de los Herreros",Ríos Rosas (Distrito Chamberí. Madrid Capital),2.605,62,Anuncio actualizado el 25/10/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,62 m²,,1,1,,,En buen estado,SA5186-GAETA,3ª,,,,
Piso en alquiler en Calle Libertad,Justicia-Chueca (Distrito Centro. Madrid Capital),2.895,120,Anuncio actualizado el 30/07/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,120 m²,,2,3,,,En buen estado,SA5186-SUNDI,2ª,,,,
Piso en alquiler en Calle de Villanueva,Recoletos (Distrito Salamanca. Madrid Capital),3.095,53,Anuncio actualizado el 05/09/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,53 m²,,1,1,,,En buen estado,SA5186-PUEBLA,5ª,,,,
"Piso en alquiler en Calle Jorge Juan, cerca de Calle de Núñez de Balboa",Castellana (Distrito Salamanca. Madrid Capital),5.000,214,Anuncio actualizado el 28/10/2024,,,Alquiler,214 m²,189 m²,4,4,,Más de 50 años,Reformado,996542-4056-JG,1ª,,,,
"Piso en alquiler en Calle del General Pardiñas, cerca de Calle Hermosilla",Goya (Distrito Salamanca. Madrid Capital),2.200,49,Anuncio actualizado el 28/10/2024,,,Alquiler,49 m²,44 m²,1,1,,Más de 50 años,En buen estado,996542-4019-AM,1ª,,,,
Piso en alquiler en Calle Corredera Baja de San Pablo,Universidad-Malasaña (Distrito Centro. Madrid Capital),3.590,152,Anuncio actualizado el 28/10/2024,,,Alquiler,152 m²,140 m²,3,2,,Entre 5 y 10 años,Reformado,996542-4069-AM,Bajo,,,,
